Азербайджанский ударный музыкальный инструмент типа бубна (дэф, дяф, даф).|гавал
Представитель народа Европы.|поляк
Представитель народа Европы.|румын
Представитель народа Европы.|санмаринец
Представитель народа Европы.|серб
Представитель народа Европы.|словак
Представитель народа Европы.|словенец
Представитель народа Европы.|турок
Представитель народа Европы.|уэльсец
Представитель народа Европы.|финн
Представитель народа Европы.|француз
Представитель народа Европы.|фриз
Представитель народа Европы.|хорват
Представитель народа Европы.|цыган
Представитель народа Европы.|швед
Представитель народа Европы.|эльзасец
Представитель народа россии, ближнего зарубежья.|казах
Представитель народа России.|абазин
Представитель народа России.|абазинец
Представитель народа России.|агул
Представитель народа России.|адыгеец
Представитель народа России.|адык
Представитель народа России.|алеут
Представитель народа России.|алтаец
Представитель народа России.|балкарец
Представитель народа России.|башкир
Представитель народа России.|бурят
Представитель народа России.|вепс
Представитель народа России.|ингуш
Представитель народа России.|калмык
Представитель народа России.|каркл
Представитель народа России.|коряк
Представитель народа России.|кумык
Представитель народа России.|лакец
Представитель народа России.|мариец
Представитель народа России.|нанаец
Представитель народа России.|ногаец
Представитель народа России.|осетин
Представитель народа России.|селькуп
Представитель народа России.|татарин
Представитель народа России.|тофалар
Представитель народа России.|тувинец
Представитель народа России.|удмурт
Представитель народа России.|хакас
Представитель народа России.|чеченец
Представитель народа России.|чуваш
Представитель народа России.|шорец
Представитель народа России.|эвенк
Представитель народа России.|юкагир
Представитель народа России.|якут
Представитель национальности, проживающей на Кавказе.|грузин
Представитель одного из северных народов России.|ненец
Представитель одного из северных народов.|эскимос
Представитель одного из южноафриканских народов.|зулус
Представитель одной из этнографических ветвей грузин.|сван
Представитель основного населения автономной республики в россии.|бурят
Представитель основного населения одной из автономий России.|карел
Представитель основного населения царства, соперника Египта.|хетт
Представитель отряда кишечнополостных.|актиния
Представитель среднеазиатской нации.|узбек
Представитель финно-угров, живущих на территории России.|удмурт
Представитель центральноазиатской нации.|монгол
Представительница государства в Азии.|японка
Представительница закавказской народности.|армянка
Представительница италийских племен, стоявших у истоков основания Рима.|латинка
Представительница кавказского народа, чьи воины принимали участие в Грюнвальдской битве.|армянка
Представительница кашубов - этнографическая группа поляков (приморская часть Польши).|кашубка
Представительница мелких диких кошек, встречающаяся на востоке Индии, Китая, Юго-Восточной Азии.|темминка
Представительница народа Азии.|иорданка
Представительница народа Америки.|пуэрториканка
Представительница народа ближнего зарубежья, России.|аварка
Представительница народа ближнего зарубежья, России.|цахурка
Представительница народа ближнего зарубежья.|абхазка
Представительница народа ближнего зарубежья.|азербайджанка
Представительница народа ближнего зарубежья.|армянка
Представительница народа ближнего зарубежья.|грузинка
Представительница народа ближнего зарубежья.|дунганка
Представительница народа ближнего зарубежья.|казашка
Представительница народа ближнего зарубежья.|киргизка
Представительница народа ближнего зарубежья.|лазка
Представительница народа ближнего зарубежья.|лезгинка
Представительница народа ближнего зарубежья.|литовка
Представительница народа ближнего зарубежья.|сванка
Представительница народа ближнего зарубежья.|таджичка
Представительница народа ближнего зарубежья.|удинка
Представительница народа ближнего зарубежья.|узбечка
Представительница народа ближнего зарубежья.|уйгурка
Представительница народа ближнего зарубежья.|украинка
Представительница народа ближнего зарубежья.|эстонка
Представительница народа в России (самоназвание - нани, устаревшее название - гольды).|нанайка
Представительница народа Европы, жительница страны, которой принадлежит крупнейший остров в мире.|датчанка
Представительница народа Европы.|австрийка
Представительница народа Европы.|албанка
Представительница народа Европы.|англичанка
Представительница народа Европы.|андоррка
Представительница народа Европы.|аромунка
Представительница народа Европы.|болгарка
Представительница народа Европы.|бретонка
Представительница народа Европы.|гречанка
Представительница народа Европы.|ирландка
Представительница народа Европы.|испанка
Представительница народа Европы.|караимка
Представительница народа Европы.|немка
Представительница народа Европы.|румынка
Представительница народа Европы.|сербка
Представительница народа Европы.|словачка
Представительница народа Европы.|турчанка
Представительница народа Европы.|финка
Представительница народа Европы.|француженка
Представительница народа Европы.|фризка
Представительница народа Европы.|хорватка
Представительница народа Европы.|цыганка
Представительница народа Европы.|чешка
Представительница народа Европы.|шведка
Представительница народа Европы.|эльзаска
Представительница народа России.|абазинка
Представительница народа России.|агулка
Представительница народа России.|адыгейка
Представительница народа России.|алеутка
Представительница народа России.|алтайка
Представительница народа России.|бурятка
Представительница народа России.|дарганка
Представительница народа России.|еврейка
Представительница народа России.|ингушка
Представительница народа России.|калмычка
Представительница народа России.|карелка
Представительница народа России.|корячка
Представительница народа России.|кумычка
Представительница народа России.|лакчанка
Представительница народа России.|марийка
Представительница народа России.|нанайка
Представительница народа России.|ненка
Представительница народа России.|осетинка
Представительница народа России.|папа
Представительница народа России.|татарка
Представительница народа России.|тувинка
Представительница народа России.|удмуртка
Представительница народа России.|удэгейка
Представительница народа России.|хакасска
Представительница народа России.|чеченка
Представительница народа России.|чувашка
Представительница народа России.|шорка
Представительница народа России.|эвенка
Представительница народа России.|юкагирка
Представительница народа России.|якутка
Представительница народа юкагиров (самоназвание - деткиль).|юкагирка
Пресноводная губка.|бодяга
Пресноводная рыба семейства карповых с красноватыми плавниками.|карась
Пресноводная рыба семейства карповых с красными плавниками.|красноперка
Пресноводная рыба семейства карповых с плоским телом.|лещ
Пресноводная рыба семейства карповых с толстым слизистым телом и круглыми плавниками.|линь
Пресноводная рыба семейства карповых с широким и толстым слизистым телом.|линь
Пресноводная рыба семейства окуневых.|ерш
Пресноводная рыба семейства сигов.|сырок
Пресноводная хищная рыба семейства окуневых с красноватыми плавниками и мелкой, крепко держащейся чешуей.|окунь
Пресноводная хищная рыба.|жерех
Пресноводное кишечно-полостное животное.|гидра
Пресноводный двустворчатый моллюск.|беззубка
Пресноводный дельфин.|иния
Пресноводный полип.|гидра
Пресноводный червь.|пиявка
Пресноводный, не мигрирующий в моря вид лососевых.|форель
Пригород Берлина.|Потсдам
Пригород Парижа.|Версаль
Придворный чин в свите монарха.|адъютант
Приморский курорт в США.|Майами
Природное водное образование.|залив
Природное водное образование.|море
Природное водное образование.|пруд
Природное образование.|ледник
Природное образование.|ледопад
Природное образование.|сток
Природное образование.|топь
Природное явление.|вихрь
Природное явление.|изморозь
Природное явление.|пурга
Природное явление; картина Малявина.|вихрь
Приток Вятки; лекарственное растение.|Пижма
Приток Енисея; курорт на окраине Иркутска.|Ангара
Приток реки Обь, на берегу которой находится город Омск.|Иртыш
Программная симфония П.И. Чайковского.|Манфред
Прозрачная бесцветная жидкость.|вода
Прозрачная бесцветная жидкость.|уксус
Прозрачная тонкая легкая ткань.|кисея
Прозрачный драгоценный камень.|гранат
Прозрачный драгоценный камень.|изумруд
Пролив соединяющий Адриотическое и Ионическое моря.|Отранто
Пролив среди Алеутских островов.|Амухта
Промысловая дальневосточная рыба семейства лососевых.|горбуша
Промысловая лесная птица.|тетерев
Промысловая морская рыба отряда окунеобразных.|горбыль
Промысловая морская рыба.|ставрида
Промысловая птица семейства утиных с характерной окраской перьев, сочетающей белый, рыжий, серый и черный цвета.|пеганка
Промысловая рыба с нежирным мясом, обитающая в северных морях.|треска
Промысловая рыба северных морей.|треска
Промысловая рыба семейства анчоусов.|хамса
Промысловая рыба семейства карповых с крупной чешуей.|сазан
Промысловая рыба семейства карповых, распространенная в реках Юго-Восточной Азии.|толстолобик
Промысловая рыба семейства лососевых.|горбуша
Промысловая рыба семейства лососевых.|омуль
Промысловая рыба семейства лососевых.|семга
Промысловая рыба семейства макрелещуковых.|сайра
Промысловая рыба семейства окуневых.|судак
Промысловая рыба семейства сельдевых.|иваси
Промысловая рыба семейства скумбриевых; макрель.|скумбрия
Промысловая рыба семейства тресковых.|минтай
Промысловая рыба семейства тресковых.|сазан
Промысловая рыба, обитающая в пресных водах Африки, Южной и Восточной Азии.|косатка
Промысловая рыба, обитающая в реках и озерах Сибири.|ленок
Промысловая рыба.|окунь
Промысловая рыба.|осетр
Промысловая рыба.|сайра
Промысловая сельдевая рыба.|иваси
Промысловая стайная рыба семейства карповых.|чехонь
Промысловое морское млекопитающее.|кашалот
Промысловое морское ракообразное.|криль
Промысловое название некоторых видов морского рачка.|криль
Промысловое название некоторых членистоногих видов морского рака.|криль
Прославленный полководец, герой Бородина.|Ермолов
Прославленный русский флотоводец, адмирал.|Нахимов
Простейшее низшее многоклеточное.|гидра
Простейшее низшее многоклеточное.|губка
Простейшее низшее многоклеточное.|полип
Простейшее низшее морское многоклеточное.|актиния
Простейшее, низшее многоклеточное.|туфелька
Простейшее, низшее многоклеточное.|эвглена
Профессия врача.|окулист
Профессия врача.|онколог
Профессия врача.|педиатр
Профессия врача.|психиатр
Профессия врача.|терапевт
Профессия рабочего.|кузнец
Профессия рабочего.|слесарь
Профессия рабочего.|шахтер
Профессия ученого.|африканист
Профессия ученого.|геофизик
Профессия ученого.|демограф
Профессия ученого.|индолог
Профессия ученого.|педагог
Профессия ученого.|психолог
Профессия ученого.|топограф
Профессия ученого.|учитель
Профессия ученого.|физик
Профессия ученого.|химик
Профессия ученого.|этнограф
Профессия ученого.|языковед
Прохладительный напиток.|крюшон
Прохладительный напиток.|лимонад
Прохладительный напиток.|ситро
Прохладительный напиток.|фанта
Прохладительный напиток.|юпи
Прохладительный напиток; рыба.|фанта
Проходная рыба из рода сигов.|омуль
Проходная рыба семейства лососей.|горбуша
Пряно-вкусовое растение.|базилик
Пряновкусовое растение.|тимьян
Пряное дерево.|лавр
Пряное растение.|рута
Пряность из корневища травянистого тропического растения.|имбирь
Пряность из сушеных цветочных почек тропического дерева.|гвоздика
Пряность из сушеных цветочных почек тропического дерева.|имбирь
Пряность из сушеных цветочных почек тропического дерева.|корица
Птица из вьюрковых.|зяблик
Птица из отряда бескилевых.|киви
Птица отряда веслоногих, обитающая на побережье тропических морей.|фаэтон
Птица отряда веслоногих.|баклан
Птица отряда веслоногих.|стриж
Птица отряда воробьиных, конек.|шеврица
Птица отряда воробьиных, обитающая в хвойных лесах.|кукша
Птица отряда воробьиных.|ласточка
Птица отряда вороновых средней величины, с черным или серо-черным оперением.|ворона
Птица отряда голенастых, священная птица у древних египтян.|ибис
Птица отряда голенастых.|аист
Птица отряда голенастых.|цапля
Птица отряда голубиных, объект охоты.|рябок
Птица отряда куликов с длинным тонким клювом, длинными ногами и темным оперением.|щеголь
Птица отряда куриных.|тетерев
Птица отряда ржанкообразных.|кулик
Птица отряда сов.|неясыть
Птица отряда ястребиных.|коршун
Птица с пестрым оперением.|удод
Птица семейства вороновых, обитающая в северных хвойных лесах Евразии.|кукша
Птица семейства вьюрковых.|клест
Птица семейства грифов.|кондор
Птица семейства гусеобразных.|гага
Птица семейства дроздов.|каменка
Птица семейства дроздов.|рябинник
Птица семейства ибисов.|скворец
Птица семейства куриных.|цесарка
Птица семейства ласточек.|касатка
Птица семейства овсянковых.|просянка
Птица семейства скворцов.|майна
Птица семейства соколиных.|кречет
Птица семейства утиных с весьма ценным пухом.|гага
Птица семейства утиных, обитающая в лесотундровой и тундровой полосе.|казарка
Птица семейства утиных, один из видов лебедей.|кликун
Птица семейства чаек, обитающая на труднодоступных обрывистых берегах полярных островов.|моевка
Птица семейства чаек.|голубок
Птица семейства чаек.|крачка
Птица семейства чайковых с черно-белым оперением, распространенная в Северной Европе.|клуша
Птица семейства ястребиных.|крачун
Птица со стремительным полётом.|стриж
Птица южных стран отряда голенастых с оголенными местами на голове и горле.|ибис
Птица, вымершая в 17-18 веках.|дронт
Птица, вымершая на Маскаренских островах.|дронт
Птица, гнездящаяся на кочках моховых болот.|ржанка
Птица, обитающая в лесах Центральной и Южной Америки.|головач
Птица, обитающая в местах, богатых водными ресурсами.|аист
Птица, обитающая в хвойных лесах.|кедровка
Птица, объект охоты.|глухарь
Птица, объект охоты.|перепел
Птица.|ворон
Птица.|ворона
Птица.|головач
Птица.|голубь
Птица.|гусь
Птица.|дергун
Птица.|дикуша
Птица.|дронго
Птица.|звонарь
Птица.|иволга
Птица.|морянка
Птица.|нырок
Птица.|пастушка
Птица.|пищуха
Птица.|ракша
Птица.|синица
Птица.|синьга
Птица.|сипуха
Птица.|сорока
Птица.|сыть
Птица.|тетерев
Птица.|тинаму
Птица.|тукан
Птица.|утка
Птица.|чайка
Птица.|чернеть
Птица.|шалашник
Птица.|щурок
Пустыня в Африке.|Сахара
Пустыня в Египте.|Аравийская
Пустыня в Северной Америке.|Невада
Пустыня в Средней Азии.|Каракумы
Пустыня в центральной Азии.|Гоби
Пустыня в Южной Африке.|Калахари
Пустыня на юге Африки.|Калахари
Пустыня на юго-западе Африки.|Намиб
Пушной зверёк с ценным мехом.|енот
Пушной зверёк.|бурундук
Пушной зверёк.|горностай
Пушной зверёк.|норка
Пушной зверёк.|ондатра
Пушной зверёк.|опоссум
Пушной зверёк; басня И. Крылова; кухонная машина.|белка
Пушной зверек.|белка
Пушной зверек.|илька
Пушной зверек.|куница
Пушной зверек.|соболь
Пушной зверь с темно-желтым мехом.|енот
Пьеса Шварца; марка пишущей машинки (Ф. Вагнер - 1893 г.).|Ундервуд
Рабочая профессия.|сапожник
Рабочая профессия.|сборщик
Рабочая профессия.|ткач
Рабочая профессия.|токарь
Рабочая специальность.|кузнец
Рабочая специальность.|слесарь
Рабочая специальность.|столяр
Рабочая специальность.|токарь
Радиоактивный химический элемент, металл.|актиний
Радиоактивный химический элемент, полученный искусственно посредством ядерных реакций.|прометий
Радиоактивный химический элемент, серебристо-белый металл.|радий
Радиоактивный химический элемент, щелочной металл.|франций
Радиоактивный химический элемент.|америций
Радиоактивный химический элемент.|астат
Радиоактивный химический элемент.|курчатовий
Радиоактивный химический элемент.|плутоний
Радиоактивный химический элемент.|полоний
Радиоактивный химический элемент.|радон
Радиоактивный химический элемент.|уран
Радиоактивный химический элемент.|фермий
Радиоактивный химический элемент.|франций
Радиоактивный химический элемент.|экарений
Радиоактивный элемент щелочноземельный металл.|барий
Радиоактивный элемент, блестящий светло-серый металл.|протактиний
Радиоактивный элемент.|ганий
Радиоактивный элемент.|дубний
Радиоактивный элемент.|жолиотий
Радиоактивный элемент.|калифорний
Радиоактивный элемент.|кюрий
Радиоактивный элемент.|нептуний
Радиоактивный элемент.|торий
Радиостанция в Тольятти, вещающая в FM диапозоне; месяц.|Август
Разменная монета Саудовской Аравии (куруш).|керш
Разновидность вечнозеленых тропических растений семейства тутовых.|фикус
Разновидность водки.|перцовка
Разновидность гармони.|аккордеон
Разновидность гипса с блеском.|алебастр
Разновидность кавычек.|лапка
Разновидность капусты.|кольраби
Разновидность кареты.|фаэтон
Разновидность керамики.|фарфор
Разновидность керамики.|фаянс
Разновидность ковра.|палас
Разновидность ковыля, растущего в Средней Азии и используемого для плетения изделий, в качестве топлива или сырья для бумажного и целлюлозного производства.|чий
Разновидность коллоидной глины, применяемой в нефтяной промышленности, в литейном производстве, в парфюмерии и т.п.|бентонит
Разновидность костной ткани.|дентин
Разновидность креветки.|шримс
Разновидность кресла.|качалка
Разновидность кресла.|шезлонг
Разновидность крупного омуля.|селенга
Район Москвы.|Алексеевское
Район Москвы.|Алешкино
Район Москвы.|Алтуфьево
Район Москвы.|Аминьево
Район Москвы.|Анино
Район Москвы.|Балчуг
Район Москвы.|Бирюлево
Район Москвы.|Бутово
Район Москвы.|Зюзино
Район Москвы.|Косино
Район Москвы.|Котлы
Район Москвы.|Сокол
Район Москвы.|Узкое
Район Москвы.|Фили
Район Москвы.|Химки
Район Москвы.|Щукино
Ракообразное.|лангуст
Ракообразное.|мокрица
Растение с белыми цветами.|ромашка
Растение семейства бобовых с длинными узкими стручками.|фасоль
Растение семейства бобовых со съедобными плоскими округлыми бобами.|чечевица
Растение семейства бобовых, земляной орех.|арахис
Растение семейства зонтичных, овощная культура.|морковь
Растение семейства камнеломковых, содержащее в листьях и корневищах дубильные вещества.|бадан
Растение семейства лебедовых с цветками в виде колосовидного соцветия, растущее обычно в засушливых местностях.|солянка
Растение семейства лилейных, молодые подземные побеги которого употребляются в пищу.|спаржа
Растение семейства лютиковых (декоративное растение).|ломонос
Растение семейства розоцветных с красными съедобными ягодами кисловатого вкуса.|костяника
Растения из рода кассия, листья которых применяют как слабительное средство, травянистое растение, александрийский лист.|сенна
Река в Азии на полуострове Индокитай, впадающая в Аравийское море (Индия, Пакистан).|Инд
Река в Великобритании; вид ткани.|Твид
Река в Коми.|Печора
Река в на востоке России.|Лена
Река в России.|Ангара
Река в России.|Дон
Река в России.|Иртыш
Река в России.|Пижма
Река в России.|Урал
Река в Сибири.|Абакан
Река в Сибири.|Анадырь
Река в Сибири.|Енисей
Река в Сибири.|Илим
Река в Сибири.|Кан
Река в Сибири.|Лена
Река в Сибири.|Пясина
Река в Словакии, на которой расположен знаменитый каскад гидроэлектростанций.|Ваг
Река в США.|Алабама
Река в США.|Арканзас
Река в США.|Гудзон
Река в США.|Иллинойс
Река в США.|Канзас
Река в США.|Колорадо
Река в США.|Огичи
Река в США.|Олбани
Река в США.|Роанок
Река в США.|Тенесси
Река в Хакасии, левый приток Енисея.|Абакан
Река и город в Московской области.|Истра
Река и город в Чувашии.|Алатырь
Река и город на Чукотке.|Анадырь
Река на Апеннинском полуострове.|Рубикон
Река на границе России и Эстонии.|Нарва
Река на полуострове Индостан.|Инд
Река на Северном Кавказе.|Кубань
Река на Урале и в Зауралье, левый приток Тобола.|Уй
Река, левый приток Днепра.|Десна
Речная водоплавающая птица семейства утиных.|чирок
Речная рыба из семейства карповых.|голец
Речное грузовое несамоходное судно.|барка
Речное грузовое судно.|баржа
Римский бог.|Амур
Римский бог.|Янус
Римский бог; спутник Сатурна.|Янус
Римский император (12-41); пьеса А. Камю (1944).|Калигула
Римский император (121-180).|Аврелий
Римский император из династии Юлиев-Клавдиев.|Калигула
Римский император начала нашей эры.|Траян
Римский император с 161 года.|Аврелий
Римский император с 270 года.|Аврелиан
Римский император с 96 года.|Нерва
Римский император.|Нерон
Римский император.|Тиберий
Римский император; опера А. Рубинштейна.|Нерон
Римский писатель и государственный деятель.|Плиний
Римский писатель и философ-историк.|Сенека
Римский писатель, учёный.|Плиний
Римский писатель-софист, автор романа «Золотой осел».|Апулей
Римский политический деятель, оратор и писатель.|Цицерон
Римский политический деятель, философ, историк и писатель.|Сенека
Римский полководец.|Агриппа
Римский полководец.|Вар
Римский полководец.|Красс
Римский полководец.|Марий
Римский полководец.|Помпей
Римский полководец.|Реул
Римский полководец.|Фламинин
Римский поэт I в до н.э.|Гораций
Римский поэт и филосов-материалист.|Лукреций
Род валенок.|бурки
Род вечнозеленых деревьев и кустарников семейства лавровых.|лавр
Род вечнозеленых деревьев и кустарников семейства чайных (декоративное растение).|камелия
Род вечнозеленых кустарников и деревьев семейства миртовых.|мирт
Род вечнозеленых кустарников.|олеандр
Род вечнозеленых кустарников.|самшит
Род вечнозеленых полупаразитных кустарников.|омела
Род вечнозеленых растений семейства тутовых.|фикус
Род вечнозеленых травянистых растений.|плаун
Род вечнозеленых хвойных деревьев и кустарников.|тисс
Род вечнозеленых хвойных деревьев, кустарников.|тисс
Род вечнозеленых хвойных растений.|кипарис
Род вечнозеленых, реже листопадных деревьев или кустарников с колючими листьями.|падуб
Род деревьев и кустарников семейства мимозовых.|акация
Род деревьев и кустарников, используемых для закрепления песков.|тамариск
Род деревьев и кустарников, распространенных на Кавказе.|кизил
Род деревьев семейства стеркулиевых.|кола
Род древесных растений.|бук
Род зеленых водорослей.|хлорелла
Род кустарников с вьющимися стеблями, изредка-лекарственные и декоративные.|обвойник
Род кустарниковых голосеменных растений.|эфедра
Род морских красных водорослей; один из видов выращивается для получения агар-агара.|анфельция
Род обезьян.|дрил
Род одно- и многолетних трав семейства злаков.|сорго
Род однолетних и многолетних трав, реже кустарников, растущих на сырых местах, по берегам рек.|дербенник
Род попугаев.|ара
Род попугая.|какаду
Род преим. древесных растений семейства мимозовых.|акация
Род продольной флейты, распространенной в молдавии.|флуер
Род простейших животных класса саркодовых.|бабезия
Род простейших животных класса саркодовых.|нехлюдов
Род птиц семейства аистов с массивным клювом.|марабу
Род растений семейства крушиновых, кустарников, вид - конфетное дерево.|говения
Род растений семейства норичковых; женское имя.|вероника
Род тополя.|осина
Род торфяного мха.|сфагнум
Род трав и кустарников семейства пасленовых.|табак
Род трав и кустарников семейства сложноцветных.|ива
Род трав и полукустарников семейства вербеновых (декоративное растение).|вербена
Род трав семейства осоковых, синоним - сыть.|циперус
Род травянистых растений.|цикорий
Род тропических деревьев.|манго
Род тропических полукустарников и кустарников семейства губоцветных.|базилик
Род флейты.|най
Род цветка с ореховидным плодом.|олакс
Род южных крупных ящериц.|варан
Род ящериц семейства сцинков.|мабуи
Роман Ю. Крашевского; женское имя.|Ульяна
Российская поп-певица.|Аллегрова
Российская поп-певица.|Алсу
Российская попгруппа с учебным названием.|Лицей
Российская рок-группа.|Алиса
Российская хоккейная команда.|Химик
Российская эстрадная певица (псевдоним).|Анка
Российская эстрадная певица по имени Анжелика.|Варум
Российская эстрадная певица по имени Ирина.|Аллегрова
Российская эстрадная певица.|Агузарова
Российская эстрадная певица.|Лайма
Российская эстрадная певица.|Овсиенко
Российская эстрадная певица.|Распутина
Российская эстрадная певица.|Сенчукова
Российская эстрадная певица.|Хлебникова
Российские хоккеисты, братья, играющие в НХЛ.|Буре
Российский автомобиль.|Газель
Российский автомобиль.|Ока
Российский актёр, «Операция Ы и другие приключения Шурика».|Смирнов
Российский актёр, воплотивший на киноэкране образ цыгана Будулая до М. Волонтира.|Матвеев
Российский атомный ледокол.|Арктика
Российский биолог и селекционер (1855-1935); российский архитектор (1700-63).|Мичурин
Российский борец, трехкратный чемпион Олимпийских игр.|Карелин
Российский государственный деятель, президент Ингушской Республики (1993), генерал-майор, Герой Советского Союза. В 1985-87 служил в Афганистане.|Аушев
Российский изобретатель велосипеда.|Артамонов
Российский изобретатель ракеты, 19 века.|Кибальчич
Российский иллюзионист.|Акопян
Российский композитор и певец по имени Аркадий.|Укупник
Российский композитор и певец по имени Вячеслав.|Добрынин
Российский композитор, автор песенок ко многим мультфильмам.|Гладков
Российский композитор, имя Игорь.|Крутой
Российский легковой автомобиль.|Самара
